"","Year","sum_flow","mig_year","win_flow","win_flow_CV","sum_air","win_air","spr_air","spr_dis","RIS_flow_juv","RIS_temp_juv","UC_spill_pct_juv","RIS_flow_ad","RIS_temp_ad","McN_flow","McN_temp","McN_spill","Bon_flow","Bon_temp","Bon_spill","MC_spill_pct_juv","ersstArc.win","ersstArc.spr","ersstArc.sum","ersstArc.aut","ersstWAcoast.win","ersstWAcoast.spr","ersstWAcoast.sum","ersstWAcoast.aut","transport.win","transport.spr","transport.sum","transport.aut","CRflow.win","CRflow.spr","CRflow.sum","CRtemp.spr","CRtemp.sum","cui.win","cui.spr","cui.sum","cui.aut","mei.win","mei.spr","mei.sum","mei.aut","npgo.win","npgo.spr","npgo.sum","npgo.aut","npi.win","npi.spr","npi.sum","npi.aut","oni.win","oni.spr","oni.sum","oni.aut","pdo.win","pdo.spr","pdo.sum","pdo.aut"
"1",NA,NA,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.189683093695805,0.150865058378242,0.0485495367269406,0.252337685124628,0.24281108379364,0.438441117604574,0.335353533426921,-0.715558052062988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006.75,1010.22,1014.95666666667,1013.63333333333,NA,NA,NA,NA,0.68,0.536666666666667,0.58,-0.15
"2",NA,NA,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0178150907330129,-0.39650441572584,-0.826481237630734,-0.836173174024998,-0.494151910146077,-0.485195716222127,-1.37203001976013,-0.559899727503459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008.44333333333,1016.77333333333,1015.88333333333,1011.85,NA,NA,NA,NA,0.62,0.18,-0.616666666666667,-0.256666666666667
"3",NA,NA,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.321455920153651,-0.288164510535098,-0.0464929865694594,-0.205908253823204,0.275206327438354,0.0202647050221761,-0.282962878545125,-0.35291846593221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006.73333333333,1015.81333333333,1015.49333333333,1013.52333333333,NA,NA,NA,NA,0.753333333333333,0.98,1.22333333333333,0.433333333333333
"4",NA,NA,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37691431346981,-0.96379967756655,-0.837914390125494,-0.846427252374846,-0.234833399454753,-0.802409569422404,-0.8563072681427,-0.690247456232707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012.45,1017.38333333333,1015.86666666667,1013.5,NA,NA,NA,NA,-0.16,-0.0966666666666667,0.546666666666667,0.00666666666666667
"5",NA,NA,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.706634375692784,-0.75763416783563,-1.38656055735446,-0.528587216892462,-0.00585822264353434,-0.682466268539429,-1.10582915941874,-0.278404951095581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012.65666666667,1015.79333333333,1017.70333333333,1013.39,NA,NA,NA,NA,-0.103333333333333,-0.333333333333333,-1.25,0.646666666666667
"6",NA,NA,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.455936612342966,-0.345350252348801,-0.32373303709359,-0.430332734667022,0.621699889500936,0.3605055809021,-0.636630455652873,-0.804759343465169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008.11,1011.91666666667,1016.62333333333,1013.31333333333,NA,NA,NA,NA,0.566666666666667,0.943333333333333,0.933333333333333,0.31
"7",NA,NA,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.406261756502349,-0.32484395894511,-0.478018134215782,-0.349948668205875,0.0193672180175781,-0.158998250961304,-0.634233474731445,-0.522419134775797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009.93666666667,1013.86666666667,1014.80666666667,1012.32666666667,NA,NA,NA,NA,0.533333333333333,0.67,0.266666666666667,0.486666666666667
"8",NA,NA,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.537171862180206,-0.609163523679492,-0.441472185617206,-0.647083816857174,-0.660535494486491,-0.472058693567912,-0.722662766774495,-0.514097929000854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013.13333333333,1016.5,1016.66666666667,1014.38333333333,NA,NA,NA,NA,-0.386666666666667,-0.0633333333333333,0.08,0.423333333333333
"9",NA,NA,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.672639536103983,-0.958785699325046,-1.51774366532249,-1.29734348702705,-0.0741840203603109,-0.850996891657511,-1.48611044883728,-1.52186409632365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009.12,1016.84333333333,1016.66,1011.29,NA,NA,NA,NA,1.03333333333333,0.376666666666667,-0.01,-0.0333333333333333
"10",NA,NA,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.865510121296192,-0.956876119662975,-1.34486806474883,-1.64298784732819,-0.732633471488953,-0.995827913284302,-1.33760142326355,-1.15942056973775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010.55666666667,1016.16333333333,1016.42666666667,1013.71333333333,NA,NA,NA,NA,0.8,0.13,-0.57,-0.436666666666667
"11",NA,NA,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39572635827393,-1.10019239166687,-1.3790543356161,-1.56111404950591,-1.37504311402639,-1.01620292663574,-1.62118991216024,-1.17647329966227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012.17333333333,1011.83666666667,1017.58333333333,1013.03333333333,NA,NA,NA,NA,-0.32,-0.0833333333333333,-0.103333333333333,-0.08
"12",NA,NA,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20545745416619,-1.2931357050079,-1.4438573922234,-0.859816939803376,-1.02801867326101,-1.86035450299581,-1.82996678352356,-1.09487875302633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012.65666666667,1015.53666666667,1017.34666666667,1012.59,NA,NA,NA,NA,-0.09,-0.446666666666667,0.31,-0.123333333333333
"13",NA,NA,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.764560682609164,-0.445756287684386,-0.408703374314582,-0.763674944296651,-0.467737356821696,-0.653068383534749,0.176602522532145,-0.479927142461141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006.6,1014.17666666667,1015.87333333333,1011.85666666667,NA,NA,NA,NA,-0.646666666666667,-0.146666666666667,0.333333333333333,0.746666666666667
"14",NA,NA,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.655898044027131,-0.615473446078684,-0.511437784392258,-0.785907576550012,-0.762253085772196,-1.23510770003001,-0.30559762318929,-0.68010139465332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009.37,1013.17333333333,1016.37,1013.00333333333,NA,NA,NA,NA,0.43,-0.0666666666666667,1.26,0.7
"15",NA,NA,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.754511697264923,-0.36832373553309,-0.80272538360508,-0.618531527464417,-0.0129851500193278,-0.0251945654551188,-0.915312925974528,-0.469429492950439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1005.51,1015.77333333333,1015.99666666667,1012.80333333333,NA,NA,NA,NA,0.316666666666667,0.463333333333333,0.00333333333333334,-0.14
"16",NA,NA,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.416870124860742,-0.0454674446719816,0.0159078948799221,-0.514155576969015,-0.0807794729868571,0.464839617411296,-0.14351765314738,-0.567070960998535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010.88333333333,1010.49333333333,1018.29,1013.91,NA,NA,NA,NA,0.206666666666667,0.166666666666667,0.776666666666667,-0.2
"17",NA,NA,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.667698776173866,-0.962247345639371,-1.42652241772619,-1.30903017192051,-1.0325749317805,-0.944567402203878,-0.658173163731893,-1.05874562263489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013.16333333333,1015.02333333333,1016.94333333333,1015.83,NA,NA,NA,NA,-0.22,0.22,-0.776666666666667,-0.556666666666667
"18",NA,NA,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.996875648799984,-0.933476797328598,-0.761707143125863,-0.627208863729718,-1.46636748313904,-1.50019427140554,-1.71770437558492,-0.784417549769084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009.67333333333,1015.73,1018.37,1014.13,NA,NA,NA,NA,-1.19,-0.0766666666666667,-0.05,-0.83
"19",NA,NA,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.229162954050919,-0.431434076750416,-0.370021833770577,-0.440300889946948,-0.100441376368205,-1.15786111354828,-1.27794973055522,-0.646927833557129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.72666666667,1017.02666666667,1016.12333333333,1012.35,NA,NA,NA,NA,-0.796666666666667,-0.6,0.246666666666667,0.12
"20",NA,NA,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.04153779231269,-0.932072865483405,-1.09270240630227,-0.643427383214578,-0.310683886210124,-0.633543372154236,-1.9556618531545,-1.50762478510539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007,1011.77666666667,1017.98,1015.00333333333,NA,NA,NA,NA,0.366666666666667,-0.0833333333333333,-0.266666666666667,-0.386666666666667
"21",NA,NA,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.721017436254984,-0.7298838717499,-0.652877390795741,-0.847763088927872,-0.688320636749268,-1.44325931866964,-1.30753056208293,-0.619461377461751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010.08333333333,1017.07666666667,1015.47666666667,1012.66,NA,NA,NA,NA,-0.12,-1.01333333333333,-1.47,-0.866666666666667
"22",NA,NA,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.875337392297284,-0.646763356389671,-0.680516620340018,-0.466690321900379,-0.265675783157349,-0.588874022165934,-0.989082018534342,-0.240885416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.99333333333,1015.62,1016.38333333333,1012.17,NA,NA,NA,NA,-0.326666666666667,-0.453333333333333,-0.29,0.303333333333333
